Wall time,Step,Value
1676385922.4317927,0,9.936883926391602
1676385922.506586,1,11.15937328338623
1676385922.572275,2,10.271156311035156
1676385922.6397004,3,14.646112442016602
1676385922.704977,4,14.952841758728027
1676385922.7700412,5,16.24900245666504
1676385922.8355668,6,17.882421493530273
1676385922.9005244,7,18.280508041381836
1676385922.9664378,8,18.92557144165039
1676385923.034892,9,20.053390502929688
1676385923.0999062,10,20.531539916992188
1676385923.1656363,11,20.29718017578125
1676385923.2324154,12,20.275062561035156
1676385923.2976801,13,20.764842987060547
1676385923.3631217,14,21.355886459350586
1676385923.4278767,15,21.758037567138672
1676385923.5043895,16,22.058441162109375
1676385923.5716476,17,22.267799377441406
1676385923.6375792,18,22.427352905273438
1676385923.7179506,19,22.720420837402344
1676385923.809446,20,23.128719329833984
1676385923.8815298,21,23.427154541015625
1676385923.951001,22,23.561819076538086
1676385924.0269382,23,23.720653533935547
1676385924.097687,24,23.945411682128906
1676385924.1789768,25,24.112565994262695
1676385924.2606053,26,24.226734161376953
1676385924.3370085,27,24.397611618041992
1676385924.4046745,28,24.606201171875
1676385924.472515,29,24.765625
1676385924.5392659,30,24.89516830444336
1676385924.60475,31,25.01682472229004
1676385924.6783214,32,25.09311294555664
1676385924.743289,33,25.183155059814453
1676385924.81199,34,25.364553451538086
1676385924.8822224,35,25.549745559692383
1676385924.950699,36,25.64194107055664
1676385925.019249,37,25.704439163208008
1676385925.086013,38,25.78679084777832
1676385925.156061,39,25.876842498779297
1676385925.2261634,40,26.007108688354492
1676385925.2936208,41,26.15471839904785
1676385925.3673134,42,26.246315002441406
1676385925.434381,43,26.313810348510742
1676385925.4992223,44,26.39198112487793
1676385925.5744882,45,26.465465545654297
1676385925.644224,46,26.563825607299805
1676385925.7093225,47,26.656064987182617
1676385925.7748215,48,26.712024688720703
1676385925.840302,49,26.776731491088867
1676385925.9064934,50,26.831790924072266
1676385925.9713888,51,26.889278411865234
1676385926.0356119,52,26.97331428527832
1676385926.1000276,53,27.042160034179688
1676385926.1669946,54,27.107608795166016
1676385926.2334595,55,27.162630081176758
1676385926.2985399,56,27.20281410217285
1676385926.3646944,57,27.25732421875
1676385926.4296021,58,27.31210708618164
1676385926.4965596,59,27.374677658081055
1676385926.5620866,60,27.425521850585938
1676385926.6271791,61,27.46808624267578
1676385926.6927693,62,27.51519203186035
1676385926.7628648,63,27.560129165649414
1676385926.8288531,64,27.616058349609375
1676385926.8972776,65,27.658771514892578
1676385926.9619708,66,27.698196411132812
1676385927.0264914,67,27.73401641845703
1676385927.090843,68,27.77318572998047
1676385927.157503,69,27.81633758544922
1676385927.2287204,70,27.85825538635254
1676385927.2986913,71,27.89885711669922
1676385927.3675125,72,27.936199188232422
1676385927.436487,73,27.97706413269043
1676385927.5059097,74,28.014427185058594
1676385927.5757294,75,28.054391860961914
1676385927.644852,76,28.09075355529785
1676385927.716125,77,28.130056381225586
1676385927.7815838,78,28.166645050048828
1676385927.8521874,79,28.204442977905273
1676385927.918167,80,28.241682052612305
1676385927.9831917,81,28.279600143432617
1676385928.049402,82,28.316619873046875
1676385928.1167872,83,28.353885650634766
1676385928.181832,84,28.394630432128906
1676385928.2845538,85,28.434703826904297
1676385928.3685007,86,28.475784301757812
1676385928.44374,87,28.51946258544922
1676385928.5114832,88,28.565141677856445
1676385928.57805,89,28.611400604248047
1676385928.6523287,90,28.641050338745117
1676385928.7220738,91,28.498104095458984
1676385928.7883298,92,27.72926139831543
