Wall time,Step,Value
1676386664.5372386,0,9.931049346923828
1676386664.5848308,1,9.638738632202148
1676386664.630532,2,8.854167938232422
1676386664.6773107,3,12.54749870300293
1676386664.7256346,4,13.21774959564209
1676386664.7695265,5,13.616951942443848
1676386664.8136144,6,14.673147201538086
1676386664.8588123,7,15.934967994689941
1676386664.9025533,8,17.19537353515625
1676386664.946862,9,18.557336807250977
1676386664.9908226,10,19.751569747924805
1676386665.034914,11,19.917924880981445
1676386665.0794246,12,19.75861930847168
1676386665.1233604,13,20.007421493530273
1676386665.167244,14,20.408315658569336
1676386665.2106824,15,20.826204299926758
1676386665.2551599,16,21.21242904663086
1676386665.2987459,17,21.486635208129883
1676386665.342831,18,21.67119026184082
1676386665.4003432,19,21.876384735107422
1676386665.4572294,20,22.19893455505371
1676386665.5064564,21,22.679302215576172
1676386665.5551498,22,23.23827362060547
1676386665.6033928,23,23.69814109802246
1676386665.6545033,24,23.940242767333984
1676386665.703146,25,23.971084594726562
1676386665.750337,26,23.87373161315918
1676386665.7993963,27,23.77029037475586
1676386665.8525925,28,23.779346466064453
1676386665.90097,29,23.9329891204834
1676386665.955079,30,24.169078826904297
1676386666.0039742,31,24.41115951538086
1676386666.052448,32,24.605501174926758
1676386666.1063342,33,24.726884841918945
1676386666.1613352,34,24.802343368530273
1676386666.2104006,35,24.892623901367188
1676386666.2594984,36,25.017486572265625
1676386666.3087506,37,25.15066146850586
1676386666.358716,38,25.26752281188965
1676386666.4070725,39,25.35226821899414
1676386666.4515505,40,25.409086227416992
1676386666.4956827,41,25.474519729614258
1676386666.5393672,42,25.563461303710938
1676386666.5836563,43,25.668087005615234
1676386666.6276734,44,25.7925968170166
1676386666.6714551,45,25.9180850982666
1676386666.7154436,46,26.019851684570312
1676386666.7590299,47,26.09213638305664
1676386666.8030348,48,26.14020347595215
1676386666.8470438,49,26.192968368530273
1676386666.8918927,50,26.271474838256836
1676386666.9356549,51,26.36199188232422
1676386666.979404,52,26.45319938659668
1676386667.022972,53,26.53427505493164
1676386667.0663118,54,26.598081588745117
1676386667.1097503,55,26.653106689453125
1676386667.1534705,56,26.70149040222168
1676386667.1969843,57,26.75665283203125
1676386667.2409472,58,26.82450294494629
1676386667.2846503,59,26.895523071289062
1676386667.3285706,60,26.96578025817871
1676386667.3720613,61,27.026002883911133
1676386667.4166203,62,27.081787109375
1676386667.4617195,63,27.13383674621582
